Title	Creator	Performer	Lang.	Rec Date	Genre	Sub-genre	Topic	Mood	Dominant Instrument	Ins. Sk.	Lyr	Voc	Mel	Rhy	ddr	T'po	Stu In
string	string	string	string	int	string	string	string	string	string	int	int	int	int	int	int	int	-
Monster	Imagine Dragons	Dan Reynolds	English	2013	indie rock	 Alternative Rock	yourself	anger	Drums	7	8	9	9	7	8	8	EEN
Time in a bottle	Jim Croce	Jim Croce	English	1973	folk rock	null	time	hope	Guitar	9	8	7	8	8	8	8	EEN
Uptown Funk	Mark Ronson	Bruno Mars	English	2014	funk-pop	disco-pop	Women	happy	Drums	7	7	8	9	9	9	9	EEN
The Real Slim Shady 	Eminem	Eminem	English	2000	rap	hip-hop	null	anger	Drums	4	8	8	8	9	5	4	EEN
4 your eyez only	J.cole	J.cole	English	2016	hip-hop	rap	hardship	sad	synthesizer	5	10	8	8	7	0	7	EN
Come closer	A Boogie wit da Hoodie, Queen Naija	A Boodie and Queen Naija	English	2018	hip-hop	rap	heartbreak destraction	sad	synthesizer	7	7	7	7	4	0	7	EN
Confuession of a dangerous mind	Logic	Logic	English	2019	hip-hop	rap	self esteem	calm	synthesizer	7	9	6	8	8	0	8	EN
Immortal	J.cole	J.cole	English	2016	hip-hop	rap	inspirational	chill	synthesizer	7	9	7	6	7	0	3	EN
Love love the way you lie	Eminem, Rihanna	Eminem, Rihanna	English	2018	hip-hop	rap	Mistakes	chill	synthesizer	4	8	6	7	7	0	6	EN
Love youz	J.cole	J.cole	English	2014	hip-hop	rap	self respect 	sad	synthesizer	8	10	9	9	9	0	9	EN
Memories	Thutmose	Thutmose	English	2018	hip-hop	rap	love	chill	synthesizer	7	6	6	9	8	0	7	EN
Middle child 	J.cole	J.cole	English	2019	hip-hop	rap	self conscious	chill	synthesizer	6	8	6	6	7	0	7	EN
The Story of O.J.	Jay-Z	Jay-Z	English	2017	hip-hop	rap	money smart	chill	synthesizer	7	8	8	7	4	0	6	EN
Thriller	Michael Jackson	Michael Jackson	English	1982	pop	pop 	monsters	energetic	synthesizer	9	9	9	9	9	10	9	EN
Alone	Lund	Lund	English	2016	hip-hop	Rap	Feeling Alone	Sad	drums	4	8	10	8	4	3	5	FA
Broken	Lund	Lund	English	2016	hip-hop	Rap	Depression	Sad	Guitar 	6	6	9	9	4	2	5	FA
Chemicals	Col3trane	Col3trane	English	2018	R&B 	Soul	chill	chill		4	6	8	8	6	3	5	FA
D0 to 100	Drake	Drake	Englsih	2014	hip-hop	Rap	going fast	Hype	Drums	3	7	6	8	8	6	4	FA
GOMF	DVBBS, Bridge	DVBBS, Bridge	English	2019	Dance	Electonic	dance	uplifting	Bass guitar	4	9	9	6	10	10	6	FA
H2o	Ski Mask theSlump God	XXXtentacion	English	2017	hip-hop	Rap	H20	Hype	Drums	3	6	4	4	8	6	6	FA
Kill You 	Eminem	Eminem	English	2000	hip-hop	Rap	Anger	Mad	Drums	3	8	3	2	6	1	8	FA
Homicide	Eminem	Eminem	English	2019	hip-hop	Rap	Boasting	Hype	Drums	6	8	5	5	8	4	8	FA
Mr. Clean	Yung Gracy	Yung Gracy	English	2018	hip-hop	Rap	null	Hype	Synthesizers	4	6	6	5	9	4	3	FA
Exchange	Brysn Tiller	Brysn Tiller	Egnlish	2015	R&B	Soul	loss	Sad	Drums	5	9	9	8	5	4	3	FA
All Into Nothing	R3HAB, Mokita	R3HAB, Mokita	English	2018	pop	null	Missing someone	Happy, Sad	Synthesizer	5	8	7	7	7	8	7	fc
Exposed	APEK	APEK, April Bender	English	2018	pop	Electronic	Loving someone	Chill	Synthesizer	8	7	7	8	8	8	8	fc
God Damnit	Illenium	Illenium, Call Me Karizma	English	2018	pop	null	Not being enough	Calm	Synthesizer	5	8	7	6	6	6	5	fc
